intent,example
thanks,بسیار ممنونم
thanks,تشکر می‌کنم
thanks,قدردانی می‌کنم
thanks,متشکرم
thanks,از شما سپاسگزارم
thanks,بابت تلاش‌های شما متشکرم
thanks,سپاس
thanks,تشکر می‌کنم از زحمات شما
thanks,از کمک شما متشکرم
thanks,ممنون از همکاری شما
thanks,سپاس از پیگیری شما
thanks,بسیار سپاسگزارم
thanks,بسیار ممنونم از همکاری شما
thanks,سپاسگزار تلاش‌های شما هستم
thanks,قدردان زحمات شما هستم
thanks,ممنون از کمک شما
thanks,تشکر بابت همراهی شما
thanks,بسیار سپاسگزار تلاش‌های شما هستم
thanks,از همکاری شما متشکرم
thanks,تشکر از حسن توجه شما
thanks,از پیگیری‌های شما ممنونم
thanks,از زحمات شما سپاسگزارم
thanks,بابت مساعدت شما ممنونم
thanks,تشکر فراوان از شما دارم
thanks,بابت همکاری شما سپاسگزارم
thanks,تشکر می‌کنم از مساعدت شما
thanks,سپاس بابت همراهی شما
thanks,از لطف شما متشکرم
thanks,بسیار قدردان همکاری شما هستم
thanks,تشکر می‌کنم از پیگیری شما
thanks,از شما بسیار سپاسگزارم
thanks,دستت درد نکنه
thanks,مرسی
thanks,واقعاً ممنون
thanks,خسته نباشی
thanks,مرسی از زحماتت
thanks,خیلی کمک کردی
thanks,خیلی قدردانم
thanks,لطف کردی
thanks,ممنون که زحمت کشیدی
thanks,از کمکت خیلی ممنونم
thanks,واقعاً سپاسگزارم
thanks,مرسی بابت پیگیریت
thanks,خیلی متشکرم
thanks,ممنون از محبتت
thanks,مرسی که هستی
thanks,ممنون بابت توجهت
thanks,خیلی لطف کردی، مرسی
thanks,خیلی ممنون از زحمتت
thanks,مرسی از همکاری‌ت
thanks,ممنون که کمک کردی
thanks,مرسی، خیلی لطف کردی
thanks,خیلی سپاسگزارم
thanks,واقعاً ممنون از وقتی که گذاشتی
thanks,خیلی چاکرتم
thanks,خیلی ممنون که کمکم کردی
thanks,سپاس از زحماتت
thanks,خیلی متشکرم از کمکت
thanks,تشکر
thanks,سپاسگزارم
thanks,خیلی ممنون
thanks,ممنون از کمکتون
thanks,تشکر می‌کنم
thanks,تشکر فراوان
thanks,ممنون بابت زحماتتون
thanks,سپاس
thanks,قدردانی می‌کنم
thanks,ممنون از پشتیبانی‌تون
thanks,ممنونم بابت همکاری‌تون
thanks,تشکر از شما
thanks,متشکرم
thanks,ممنونم، قدردانم
thanks,تشکر از پیگیری‌تون
thanks,سپاسگزارم بابت کمکتون
thanks,بسیار ممنونم
thanks,خیلی تشکر می‌کنم
thanks,مرسی از زحماتتون
thanks,ممنون از پاسخگویی‌تون
thanks,تشکر از همکاریتون
thanks,ممنون از پیگیری‌تون
thanks,ممنون از اطلاعاتی که دادید
thanks,خیلی ممنون از کمکتون
thanks,ممنون از توجه‌تون
thanks,تشکر از پاسختون
thanks,قدردانی از راهنمایی‌تون
thanks,ممنون از وقتی که گذاشتید
thanks,بسیار سپاسگزارم
thanks,تشکر فراوان از شما که به من کمک کردید و این موضوع را برایم توضیح دادید.
thanks,خیلی ممنونم که این مشکل را پیگیری کردید و جواب من را دادید، واقعاً ممنون.
thanks,تشکر می‌کنم از زحمات شما و توجهی که به این مسئله داشتید.
thanks,خیلی متشکرم از اینکه با صبر و حوصله به سوالات من پاسخ دادید و مرا راهنمایی کردید.
thanks,مرسی از اینکه وقت گذاشتید و این موضوع را برای من روشن کردید، واقعاً سپاسگزارم.
thanks,ممنون از پیگیری‌های شما و اینکه به من کمک کردید تا این مشکل را حل کنم.
thanks,تشکر می‌کنم از زحمات شما و راهنمایی‌های دقیقی که به من ارائه دادید.
thanks,خیلی ممنونم که به من کمک کردید و توضیحات لازم را دادید تا این مسئله را درک کنم.
thanks,خیلی متشکرم از اینکه با دقت و توجه به این موضوع رسیدگی کردید و جواب دادید.
thanks,ممنون از اینکه وقت گذاشتید و به من کمک کردید تا این مسئله را حل کنم، واقعاً ممنون.
thanks,تشکر فراوان از اینکه با صبر و حوصله به سوالات من پاسخ دادید و مرا راهنمایی کردید.
thanks,تشکر می‌کنم از اینکه با صبر و حوصله به من کمک کردید تا این مشکل را بفهمم.
thanks,بسیار سپاسگزارم از راهنمایی‌های شما و وقتی که برای من اختصاص دادید.
thanks,سپاسگزارم از اینکه به سوالات من با دقت و حوصله پاسخ دادید.
thanks,تشکر می‌کنم از زحمات شما و راهنمایی‌های دقیقی که به من ارائه دادید.
thanks,بسیار ممنونم از اینکه وقت گذاشتید و به من کمک کردید تا این مشکل را حل کنم.
thanks,خیلی متشکرم از توجه و دقتی که در پاسخگویی به سوالات من داشتید.
thanks,ممنون از پیگیری‌های شما و وقتی که برای من اختصاص دادید، واقعاً سپاسگزارم.
thanks,خیلی ممنونم که به من کمک کردید و توضیحات لازم را در اختیارم گذاشتید.
thanks,سپاسگزارم از زحمات شما و وقتی که برای من اختصاص دادید تا این مشکل را برطرف کنم.
thanks,تشکر فراوان از شما که به من کمک کردید و اطلاعات مفیدی در اختیارم گذاشتید.
thanks,خیلی متشکرم از اینکه وقت گذاشتید و این موضوع را برای من روشن کردید.
thanks,تشکر می‌کنم از زحمات شما و توجهی که به این مسئله داشتید، واقعاً ممنون.
thanks,بسیار سپاسگزارم از راهنمایی‌های شما و وقتی که برای من اختصاص دادید تا این مشکل را برطرف کنم.
thanks,تشکر
thanks,دست شما درد نکنه
thanks,دستتون درد نکنه متشکر
thanks,لطف کردی
thanks,خوب بود
thanks,سپاس گزارم
thanks,سپاسگزارم
thanks,یه دنیا ممنون
thanks,متشکرم
greeting_greet,چطور پیش می‌رود؟
greeting_greet,اوضاع چگونه است؟
greeting_greet,چه خبرهای جدیدی دارید؟
greeting_greet,تازه چه خبر؟
greeting_greet,چه اتفاقاتی افتاده است؟
greeting_greet,تازه‌ترین اخبار شما چیست؟
greeting_greet,خبرهای جدید چیست؟
greeting_greet,خبرهای جدید چیست؟
greeting_greet,خبرهای تازه‌ای دارید؟
greeting_greet,وضعیت فعلی چگونه است؟
greeting_greet,اوضاع چطور پیش می‌رود؟
greeting_greet,اخبار تازه‌ای دارید؟
greeting_greet,چه وقایعی رخ داده است؟
greeting_greet,جدیداً چه اتفاقی افتاده است؟
greeting_greet,چه اطلاعات جدیدی دارید؟
greeting_greet,چیز جدیدی برای گفتن دارید؟
greeting_greet,چه اطلاعاتی جدیدی دارید؟
greeting_greet,چه تغییراتی رخ داده؟
greeting_greet,تازه چه خبرهایی دارید؟
greeting_greet,جدیداً چه خبرهایی دارید؟
greeting_greet,اوضاع چطور است؟
